Person,Question,Encoding,Method,Preference,Response
0,0,"A1 fastspeech, A2 baseline",fastspeech,A1 better,1
0,1,"A1 fastspeech, A2 baseline",fastspeech,A1 better,1
0,2,"A1 tacotron, A2 baseline",tacotron,A2 better,0
0,3,"A1 baseline, A2 fastspeech",fastspeech,A2 better,1
0,4,"A1 fastspeech, A2 baseline",fastspeech,equal,0
0,5,"A1 tacotron, A2 baseline",tacotron,A2 better,0
0,6,"A1 tacotron, A2 baseline",tacotron,A2 better,0
0,7,"A1 baseline, A2 fastspeech",fastspeech,A2 better,1
0,8,"A1 tacotron, A2 baseline",tacotron,A1 better,1
0,9,"A1 tacotron, A2 baseline",tacotron,equal,0
0,10,"A1 tacotron, A2 baseline",tacotron,A2 better,0
0,11,"A1 fastspeech, A2 baseline",fastspeech,equal,0
1,0,"A1 fastspeech, A2 baseline",fastspeech,A1 better,1
1,1,"A1 fastspeech, A2 baseline",fastspeech,equal,0
1,2,"A1 tacotron, A2 baseline",tacotron,A1 better,1
1,3,"A1 baseline, A2 fastspeech",fastspeech,A2 better,1
1,4,"A1 fastspeech, A2 baseline",fastspeech,A1 better,1
1,5,"A1 tacotron, A2 baseline",tacotron,A2 better,0
1,6,"A1 tacotron, A2 baseline",tacotron,equal,0
1,7,"A1 baseline, A2 fastspeech",fastspeech,A2 better,1
1,8,"A1 tacotron, A2 baseline",tacotron,A1 better,1
1,9,"A1 tacotron, A2 baseline",tacotron,A1 better,1
1,10,"A1 tacotron, A2 baseline",tacotron,equal,0
1,11,"A1 fastspeech, A2 baseline",fastspeech,equal,0
2,0,"A1 fastspeech, A2 baseline",fastspeech,equal,0
2,1,"A1 fastspeech, A2 baseline",fastspeech,equal,0
2,2,"A1 tacotron, A2 baseline",tacotron,equal,0
2,3,"A1 baseline, A2 fastspeech",fastspeech,equal,0
2,4,"A1 fastspeech, A2 baseline",fastspeech,A1 better,1
2,5,"A1 tacotron, A2 baseline",tacotron,equal,0
2,6,"A1 tacotron, A2 baseline",tacotron,A2 better,0
2,7,"A1 baseline, A2 fastspeech",fastspeech,A2 better,1
2,8,"A1 tacotron, A2 baseline",tacotron,equal,0
2,9,"A1 tacotron, A2 baseline",tacotron,equal,0
2,10,"A1 tacotron, A2 baseline",tacotron,equal,0
2,11,"A1 fastspeech, A2 baseline",fastspeech,equal,0
3,0,"A1 fastspeech, A2 baseline",fastspeech,A1 better,1
3,1,"A1 fastspeech, A2 baseline",fastspeech,equal,0
3,3,"A1 baseline, A2 fastspeech",fastspeech,A2 better,1
3,4,"A1 fastspeech, A2 baseline",fastspeech,equal,0
3,5,"A1 tacotron, A2 baseline",tacotron,equal,0
3,6,"A1 tacotron, A2 baseline",tacotron,A1 better,1
3,7,"A1 baseline, A2 fastspeech",fastspeech,A2 better,1
3,8,"A1 tacotron, A2 baseline",tacotron,equal,0
3,11,"A1 fastspeech, A2 baseline",fastspeech,equal,0
4,0,"A1 fastspeech, A2 baseline",fastspeech,A1 better,1
4,1,"A1 fastspeech, A2 baseline",fastspeech,A1 better,1
4,2,"A1 tacotron, A2 baseline",tacotron,equal,0
4,3,"A1 baseline, A2 fastspeech",fastspeech,A2 better,1
4,4,"A1 fastspeech, A2 baseline",fastspeech,A1 better,1
4,5,"A1 tacotron, A2 baseline",tacotron,A1 better,1
4,6,"A1 tacotron, A2 baseline",tacotron,A1 better,1
4,7,"A1 baseline, A2 fastspeech",fastspeech,A2 better,1
4,8,"A1 tacotron, A2 baseline",tacotron,A2 better,0
4,9,"A1 tacotron, A2 baseline",tacotron,equal,0
4,10,"A1 tacotron, A2 baseline",tacotron,A2 better,0
4,11,"A1 fastspeech, A2 baseline",fastspeech,A1 better,1
5,0,"A1 fastspeech, A2 baseline",fastspeech,A1 better,1
5,1,"A1 fastspeech, A2 baseline",fastspeech,equal,0
5,2,"A1 tacotron, A2 baseline",tacotron,A2 better,0
5,3,"A1 baseline, A2 fastspeech",fastspeech,equal,0
5,4,"A1 fastspeech, A2 baseline",fastspeech,equal,0
5,5,"A1 tacotron, A2 baseline",tacotron,A2 better,0
5,6,"A1 tacotron, A2 baseline",tacotron,equal,0
5,7,"A1 baseline, A2 fastspeech",fastspeech,A2 better,1
5,8,"A1 tacotron, A2 baseline",tacotron,equal,0
5,9,"A1 tacotron, A2 baseline",tacotron,A1 better,1
5,10,"A1 tacotron, A2 baseline",tacotron,A2 better,0
5,11,"A1 fastspeech, A2 baseline",fastspeech,A2 better,0
6,0,"A1 fastspeech, A2 baseline",fastspeech,A1 better,1
6,1,"A1 fastspeech, A2 baseline",fastspeech,equal,0
6,2,"A1 tacotron, A2 baseline",tacotron,A1 better,1
6,3,"A1 baseline, A2 fastspeech",fastspeech,equal,0
6,4,"A1 fastspeech, A2 baseline",fastspeech,equal,0
6,5,"A1 tacotron, A2 baseline",tacotron,A1 better,1
6,6,"A1 tacotron, A2 baseline",tacotron,equal,0
6,7,"A1 baseline, A2 fastspeech",fastspeech,A2 better,1
6,8,"A1 tacotron, A2 baseline",tacotron,A2 better,0
6,9,"A1 tacotron, A2 baseline",tacotron,equal,0
6,10,"A1 tacotron, A2 baseline",tacotron,equal,0
6,11,"A1 fastspeech, A2 baseline",fastspeech,equal,0
7,0,"A1 fastspeech, A2 baseline",fastspeech,A1 better,1
